genet ,size,treatment ,timepoint ,mean area 
33,1.2,control,1,146.975
33,1.2,30min ,1,173.31
33,1.2,1hr,1,200.61
34,1.2,control,1,214.31
34,1.2,30min ,1,205.83
34,1.2,1hr,1,250.72
38,1.2,control,1,217.512
38,1.2,30min ,1,193.34
38,1.2,1hr,1,191.32
33,2,control,1,369.85
33,2,30min ,1,388.61
33,2,1hr,1,396.76
34,2,control,1,394.333
34,2,30min ,1,418.06
34,2,1hr,1,450.24
38,2,control,1,335.13
38,2,30min ,1,380.31
38,2,1hr,1,409.786
33,1.2,control,4,244.59
33,1.2,30min ,4,283.65
33,1.2,1hr,4,338.13
34,1.2,control,4,335.225
34,1.2,30min ,4,300.496
34,1.2,1hr,4,351.168
38,1.2,control,4,331.747
38,1.2,30min ,4,282.25
38,1.2,1hr,4,284.81
33,2,control,4,486.81
33,2,30min ,4,519.52
33,2,1hr,4,557.38
34,2,control,4,568.37
34,2,30min ,4,576.105
34,2,1hr,4,651.216
38,2,control,4,498.356
38,2,30min ,4,510.679
38,2,1hr,4,554.96
33,1.2,control,7,311
33,1.2,30min ,7,350.935
33,1.2,1hr,7,415.9
34,1.2,control,7,435.25
34,1.2,30min ,7,389.257
34,1.2,1hr,7,440.65
38,1.2,control,7,428.22
38,1.2,30min ,7,400.85
38,1.2,1hr,7,446.27
33,2,control,7,534.869
33,2,30min ,7,614.22
33,2,1hr,7,634.54
34,2,control,7,690.508
34,2,30min ,7,751.38
34,2,1hr,7,819.08
38,2,control,7,653.048
38,2,30min ,7,675.541
38,2,1hr,7,755.11
